,Sentence,Sentiment
1583,The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 .,negative
3053,"With the U.S. Federal Government putting a stake in the ground , vendors - and their customers - are focused on meeting the deadline .",neutral
66,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative
4472,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",negative
3471,The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral
5939,Michael Bloomberg Pledges $15Mil to Ensure U.S. Fulfills Paris Climate Accord,positive
5986,What a Dog Taught Me About Personal Growth,positive
3246,"In 2007 , almost two thirds of Orion 's net sales came from these drugs .",neutral
6522,(UPDATED w/ Video) Harvard Students Take Time to Thank the Janitors,positive
4608,About Dopplr Dopplr is a service for smart travellers .,neutral
5196,LSE gets Hong Kong regulatory nod to HK firms to become LSE members,positive
4031,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive
1025,He wore a black beanie-type cap and a black jacket .,neutral
222,N-Viro operates processing facilities independently as well as in partnership with municipalities .,neutral
1231,"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral
7,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OCTOBER 14 , 2008 AT 2:45 PM The Company updates its full year outlook and estimates its results to remain at loss for the full year .",negative
6673,Chicago Man Wins Lottery Because He Came to Serve in Post-Storm Sandy Cleanup,positive
5862,‘VAX LIVE’ Concert Raises $304M to Fund 26 Million COVID-19 Vaccine Doses for World’s Most Vulnerable,positive
5464,"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .",neutral
631,"However , the company saw its net profit for the third quarter down to EUR 1.4 million from EUR 1.5 million for the corresponding period of 2009 .",neutral
3784,"Cash flow from operations totalled EUR 2.71 mn , compared to a negative EUR 0.83 mn in the corresponding period in 2008 .",positive
1705,Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .,neutral
993,"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive
2845,Randgold profit hit by poor gold price but dividend still increases,neutral
2262,"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",neutral
1206,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",negative
3755,Technopolis has approximately 130 customer companies in Jyvaskyla .,neutral
5607,Performance in the second half of 2009 exceeded expectations .,positive
2750,RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,neutral
4481,"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",neutral
5935,Mom Does a Double-Take After Spotting a Seal Pup in Her Easter Potato Peelings,positive
2604,"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",negative
3614,in Q1 2010 18 May 2010 - Finnish electrical components maker Salcomp Oy ( HEL : SAL1V ) said today it turned to a net profit of EUR1 .6 m in the first quarter of 2010 versus a loss of EUR2m in the corresponding period last year .,positive
5542,US dollar wipes out sales gains for SABMiller,negative
372,All rights reserved .,neutral
444,$AAPL I'm sure those short are holding their breath hoping for a miracle. lol,positive
6726,Moms Should Celebrate Mother’s Day By Putting Their Own Minds First,positive
4620,Diluted earnings per share ( EPS ) rose to EUR 3.68 from EUR 0.50 .,positive
2597,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",neutral
5206,The District Court of Helsinki dismissed all charges as the court of first instance in 2005 .,positive
332,"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",neutral
6806,Surprise! Women Started More Firms Than Men,positive
1755,The original patent was filed in Finland under application No. .,neutral
102,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral
531,Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .,neutral
3208,- I am pleased that Bjorn Wahlroos has accepted the nomination .,positive
1846,The new units should become one of the largest ones within the company .,neutral
294,Aviva promises higher dividends to boost flagging share price,positive
4575,Production will expand to other of Elcoteq 's locations including Mexico and Hungary during 2010 .,positive
5587,Homeowners across North America have green experiences to share from cost savings to clean and eco-friendly heating .,neutral
663,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",positive
4510,EPS dropped to EUR0 .2 from EUR0 .3 .,neutral
5478,"They can be used to control the speed of electric motors used by industry and municipal engineering , and in power generation using renewable energy .",neutral
3300,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",neutral
6927,"Retired Pharmacist Has Collected 120,000 Cigarette Butts From Streets to Make Cig-nificant Works of Art",positive
4639,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",neutral
668,"According to ACNielsen 's ScanTrack study for the period week 10 of 2005 to week 9 of 2006 , Coca-Cola is the market leader in soft drinks in Finland .",positive
3236,"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation .",positive
3705,The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral
2080,"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",negative
3397,Finnlines has six ships under construction in China with deliveries scheduled between the first quarter of 2011 and the final quarter of 2012 .,neutral
257,Altogether Finnair has canceled over 500 flights because of the strike .,negative
4996,fi is developing cooperation in keyword advertising with Microsoft .,positive
5074,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive
944,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",positive
6936,People in 108 Countries Are Joining Forces to do Good on ‘Good Deeds Day’ Today,positive
6262,"After $750 Price Hike Per Pill, Rival Drug Company Offers $1 Alternative",positive
6468,Judge Rules Bush’s Lax Pesticide Law Illegal,positive
4641,Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,neutral
6955,Artist Spends Hours Carving These Spooky Jack-o-Lanterns—and They’re Stunningly Elaborate,positive
55,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive
4433,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,positive
3638,"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral
528,"In 2006 the company 's net sales amounted to approximately EUR259m and it has some 8,000 employees .",neutral
6918,Plastic Bio Bottle is Composted into Plant Food,positive
1405,"Finnish software company QPR Software Plc ( OMX Helsinki : QPR1V ) reported on Thursday ( 23 October ) an operating profit of EUR63 ,000 on net sales of EUR1 .5 m for the third quarter 2008 .",neutral
6387,Meet the Comedian Who Hires Comics to Visit Dementia Patients – Watch the Good News Weekly LIVE Show (Ep. #3),positive
1207,"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .",neutral
